description	enabled		min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
12 mana potions -> full rejuvenate potion	1			0					12	mpot,qty=12							rvl																																																																																							0
2 health potions +  2 mana potions -> rejuvenate potion	1			0					4	hpot,qty=2	mpot,qty=2						rvs																																																																																							0
3 small rejuvs -> one large	1			0					3	rvs,qty=3							rvl																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			0					7	amu,mag	gpv	gpy	gpb	gpg	gpr	gpw	amu,mag,pre=331	66																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	1			0					3	rin,mag	gpr	opm					rin,mag,pre=372	42																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	1			0					3	rin,mag	gpb	wms					rin,mag,pre=353	42																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	1			0					3	rin,mag	gpy	rvs					rin,mag,pre=392	42																																																																																						0
1 ring + 1 emerald + 1 antidote potions -> jade ring	1			0					3	rin,mag	gpg	yps					rin,mag,pre=412	42																																																																																						0
1 axe + 1 dagger -> Exceptional Throwing axe	1			0					2	axe	knif						tax,exp	42																																																																																						0
1 spear + 1 arrow quiver -> javelins	1			0					2	spea	aqv						jav,nor	30																																																																																						0
2  MAGICAL RINGS -> 1 Magic Amulet	1			0					2	rin,mag,qty=2							amu,mag			80																																																																																				0
2  MAGICAL AMULETS -> 1 Magic Ring	1			0					2	amu,mag,qty=2							rin,mag			60																																																																																				0
1 Magic Shield (any type) + 1 Spiked Club (any quality) + 1 Skulls (any quality) = Magic Shield of Spikes	1			0					3	shld,mag	gemz,qty=1	spc					usetype,mag,suf=162	42																																																																																						0
4 Health Potions (of any type) + Ruby (any type) + Magical Sword = A Magic Sword of the Leech	1			0					6	swor,mag	gemr	hpot,qty=4					usetype,mag,suf=352	42																																																																																						0
1 diamond + 1 kriss + 1 staff + 1 belt + 3 Jewels -> SAVAGE Exceptional Magical Polearm	1			0					7	kri	gemd	staf	belt	jew,qty=3			pole,exc,mag,pre=191	50																																																																																						0
1 strangling gas potion + 1 health potion -> antidote potion	1			0					2	gpl	hpot						yps																																																																																							0
2 arrows -> bolts	1			0					2	aqv,qty=2							cqv																																																																																							0
2 bolts -> arrows	1			0					2	cqv,qty=2							aqv																																																																																							0
2 Chipped amethysts -> flawed amethyst	1			0					2	gcv,qty=2							gfv																																																																																							0
2 Flawed amethysts -> standard amethyst	1			0					2	gfv,qty=2							gsv																																																																																							0
2 Standard amethysts -> flawless amethyst	1			0					2	gsv,qty=2							gzv																																																																																							0
2 Flawless amethysts -> perfect amethyst	1			0					2	gzv,qty=2							gpv																																																																																							0
2 Chipped rubies -> flawed ruby	1			0					2	gcr,qty=2							gfr																																																																																							0
2 Flawed rubies -> standard ruby	1			0					2	gfr,qty=2							gsr																																																																																							0
2 Standard rubies -> flawless ruby	1			0					2	gsr,qty=2							glr																																																																																							0
2 Flawless rubies -> perfect ruby	1			0					2	glr,qty=2							gpr																																																																																							0
2 Chipped sapphires -> flawed sapphire	1			0					2	gcb,qty=2							gfb																																																																																							0
2 Flawed sapphires -> standard sapphire	1			0					2	gfb,qty=2							gsb																																																																																							0
2 Standard sapphires -> flawless sapphire	1			0					2	gsb,qty=2							glb																																																																																							0
2 Flawless sapphires -> perfect sapphire	1			0					2	glb,qty=2							gpb																																																																																							0
2 Chipped topazes -> flawed topaz	1			0					2	gcy,qty=2							gfy																																																																																							0
2 Flawed topazes -> standard topaz	1			0					2	gfy,qty=2							gsy																																																																																							0
2 Standard topazes -> flawless topaz	1			0					2	gsy,qty=2							gly																																																																																							0
2 Flawless topazes -> perfect topaz	1			0					2	gly,qty=2							gpy																																																																																							0
2 Chipped emeralds -> flawed emerald	1			0					2	gcg,qty=2							gfg																																																																																							0
2 Flawed emeralds -> standard emerald	1			0					2	gfg,qty=2							gsg																																																																																							0
2 Standard emeralds -> flawless emerald	1			0					2	gsg,qty=2							glg																																																																																							0
2 Flawless emeralds -> perfect emerald	1			0					2	glg,qty=2							gpg																																																																																							0
2 Chipped diamonds -> flawed diamond	1			0					2	gcw,qty=2							gfw																																																																																							0
2 Flawed diamonds -> standard diamond	1			0					2	gfw,qty=2							gsw																																																																																							0
2 Standard diamonds -> flawless diamond	1			0					2	gsw,qty=2							glw																																																																																							0
2 Flawless diamonds -> perfect diamond	1			0					2	glw,qty=2							gpw																																																																																							0
2 Chipped skulls -> flawed skull	1			0					2	skc,qty=2							skf																																																																																							0
2 Flawed skulls -> standard skull	1			0					2	skf,qty=2							sku																																																																																							0
2 Standard skulls -> flawless skull	1			0					2	sku,qty=2							skl																																																																																							0
3 Flawless skulls -> perfect skull	1			0					3	skl,qty=3							skz																																																																																							0
2 EL RUNES -> 1 ELD 	1			100					2	r01,qty=2							r02																																																																																							0
2 ELD RUNES -> 1 TIR	1			100					2	r02,qty=2							r03																																																																																							0
2 TIR RUNES -> 1 NEF 	1			100					2	r03,qty=2							r04																																																																																							0
2 NEF RUNES -> 1 ETH	1			100					2	r04,qty=2							r05																																																																																							0
2 ETH RUNES -> 1 ITH	1			100					2	r05,qty=2							r06																																																																																							0
2 ITH RUNES -> 1 TAL	1			100					2	r06,qty=2							r07																																																																																							0
2 TAL RUNES -> 1 RAL	1			100					2	r07,qty=2							r08																																																																																							0
2 RAL RUNES -> 1 ORT	1			100					2	r08,qty=2							r09																																																																																							0
2 ORT RUNES -> 1 THUL	1			100					2	r09,qty=2							r10																																																																																							0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			100					4	fhl,mag,upg	jew	r06	gpb				usetype,crf	30			gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	mbt,mag,upg	jew	r08	gpb				usetype,crf	38			gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	mgl,mag,upg	jew	r09	gpb				usetype,crf	42			gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	tbl,mag,upg	jew	r07	gpb				usetype,crf	37			gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	gts,mag,upg	jew	r05	gpb				usetype,crf	30			gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
magic field plate + jewel + rune 04 + perfect sapphire -> hitpower body	1			100					4	fld,mag,upg	jew	r04	gpb				usetype,crf	30			gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
magic amulet + jewel + rune 10 + perfect sapphire -> hitpower amulet	1			100					4	amul,mag	jew	r10	gpb				usetype,crf	50			gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
magic ring + jewel + rune 11 + perfect sapphire -> hitpower ring	1			100					4	ring,mag	jew	r11	gpb				usetype,crf	50			gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
magic blunt + jewel + rune 03 + perfect sapphire -> hitpower weapon	1			100					4	blun,mag	jew	r03	gpb				usetype,crf	30			gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
magic helm + jewel + rune 08 + perfect ruby -> blood helm	1			100					4	hlm,mag,upg	jew	r08	gpr				usetype,crf	38			lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
